Link ID,Left Link,Right Link,Through Link,Conflict Link
0,0,0,0,0
1,6,2,21,23
2,0,0,0,0
3,0,0,0,0
4,0,21,8,6
5,24,18,31,33
6,21,0,2,4
7,28,22,35,0
8,3,0,12,10
9,0,0,0,0
10,0,3,6,0
11,36,30,39,41
12,0,25,16,0
13,0,0,0,0
14,25,0,10,12
15,40,34,43,45
16,0,27,20,0
17,0,0,0,0
18,27,0,14,16
19,44,38,47,49
20,0,31,24,0
21,52,46,51,53
22,31,0,18,20
23,2,8,0,1
24,0,35,28,0
25,56,50,0,0
26,35,0,22,24
27,60,54,0,0
28,9,0,32,30
29,2,20,0,0
30,0,9,26,0
31,64,58,55,57
32,13,39,36,34
33,2,24,0,5
34,39,13,30,32
35,68,62,0,0
36,17,43,40,38
37,2,32,9,0
38,43,17,34,36
39,76,70,0,0
40,0,47,44,0
41,2,36,13,11
42,47,0,38,40
43,80,0,59,61
44,0,0,0,0
45,2,40,17,15
46,0,0,0,0
47,84,78,67,69
48,23,51,52,50
49,38,44,0,19
50,53,23,46,48
51,0,0,0,0
52,0,0,56,0
53,46,52,23,21
54,0,0,50,0
55,0,114,95,0
56,29,0,60,58
57,58,64,33,31
58,0,29,54,0
59,0,74,63,0
60,33,55,64,62
61,0,80,45,0
62,55,33,58,60
63,88,0,71,73
64,0,0,68,0
65,74,0,61,59
66,0,0,62,0
67,92,86,75,77
68,37,0,72,70
69,78,84,49,47
70,0,37,66,0
71,100,94,79,81
72,41,0,76,74
73,0,88,65,0
74,0,41,70,0
75,104,94,83,85
76,61,63,0,0
77,86,92,69,67
78,59,45,0,0
79,108,0,87,89
80,49,67,84,82
81,94,100,73,71
82,67,49,78,80
83,112,106,91,93
84,0,0,0,0
85,98,104,77,75
86,71,65,0,0
87,132,126,107,109
88,69,75,92,90
89,0,108,81,0
90,75,69,86,88
91,136,130,111,113
92,0,0,0,0
93,106,112,85,83
94,0,0,0,0
95,128,122,103,105
96,73,79,100,98
97,114,0,57,55
98,81,73,94,96
99,124,118,0,0
100,77,83,104,102
101,0,0,0,0
102,83,77,98,100
103,0,0,0,0
104,0,0,0,0
105,122,128,97,95
106,87,81,0,0
107,0,0,0,0
108,85,91,112,110
109,118,132,89,87
110,91,85,106,108
111,0,0,0,0
112,0,0,0,0
113,130,136,93,91
114,0,0,0,0
116,57,95,0,0
118,101,124,0,122
120,101,0,124,122
122,0,101,118,0
124,97,103,128,126
126,103,97,122,124
128,89,107,132,130
130,107,89,126,128
132,93,111,136,134
134,111,93,130,132
136,0,0,0,0