17748:0,0,1,2,4,1,5,9,10,10,8,3,4,4,7,9,7,8,7,10,3,5,10,4,7,4,11,7,4,8,6,5,6,5,5,6,9,2,6,5,8,5,5,4,7,6,7,5,12,3,9,5,9,6,6,9,5,3,5,9,6,4,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
917515:0,0,3,0,2,2,6,3,6,3,5,3,3,5,2,4,3,9,6,2,5,2,3,3,4,4,4,2,1,6,3,7,4,5,4,6,2,0,3,3,1,3,5,2,2,1,0,2,5,2,12,4,3,2,2,7,2,5,2,7,6,7,0,4,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
17421:0,0,0,4,0,3,3,0,1,2,1,0,1,3,3,0,4,1,5,0,1,1,4,2,4,2,4,1,1,2,5,1,3,2,4,1,1,1,4,7,0,1,1,1,3,2,3,1,1,2,6,1,3,2,3,0,1,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917099:0,0,0,2,7,8,6,7,9,11,8,7,10,9,10,8,6,9,11,9,2,5,7,5,9,7,4,6,8,8,10,6,5,6,7,12,12,9,10,4,8,7,6,5,5,4,7,13,10,7,5,5,5,8,12,3,11,11,7,9,10,11,8,9,2,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917520:0,0,3,4,4,8,7,2,4,6,10,3,4,4,11,6,6,5,7,8,5,6,8,3,4,6,5,7,4,5,6,5,3,4,5,5,8,5,6,11,6,7,7,5,4,3,5,5,5,8,7,5,9,4,3,5,5,7,3,4,5,7,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17752:0,0,0,1,5,1,6,7,5,3,4,0,7,3,3,5,4,4,4,5,3,6,7,4,5,2,5,3,4,3,4,4,4,5,3,2,6,3,1,7,1,6,4,2,7,2,4,2,4,3,3,6,5,5,2,2,3,10,4,0,1,1,6,4,1,1,1,0,0,2,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
917522:0,0,3,10,15,18,18,14,15,13,20,15,17,15,19,16,20,15,14,15,21,13,17,16,16,13,15,15,17,12,18,17,18,20,14,14,20,14,14,13,16,18,17,20,15,16,14,15,13,14,17,23,21,19,19,19,14,14,18,12,14,16,18,15,14,13,10,11,10,9,12,13,11,13,15,12,9,11,10,8,12,9,11,12,12,11,10,10,8,9,13,12,11,11,12,10,10,10,9,12,13,13,11,12,11,9,10,8,10,11,8,0,0
917523:0,0,1,5,4,5,6,7,4,5,3,6,4,2,7,6,10,6,2,9,8,1,8,3,2,7,3,6,4,3,10,8,6,6,4,4,8,4,6,8,9,6,8,6,4,7,2,6,6,5,12,10,9,5,8,4,3,9,6,2,7,6,6,1,2,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,6,10,14,19,14,17,11,16,15,18,15,19,16,7,11,15,17,16,19,15,24,15,18,11,21,14,16,20,11,18,15,18,18,12,8,15,11,14,12,15,19,12,13,16,12,16,14,12,23,18,22,23,25,16,28,18,20,23,13,21,16,9,5,3,7,5,3,4,5,4,3,4,5,3,4,3,9,5,3,3,2,1,0,3,4,7,4,4,3,7,5,1,2,3,4,3,7,3,6,5,3,3,2,5,6,1,5,5,5,0,0
917526:0,0,3,9,11,12,13,7,11,15,15,12,12,9,15,12,10,8,11,10,11,14,12,10,12,5,7,5,13,9,16,10,18,9,8,10,8,15,12,15,11,13,15,17,12,5,12,13,13,8,11,15,15,10,6,11,18,13,19,8,10,11,11,6,4,7,7,7,11,10,8,10,8,2,5,11,9,9,4,7,9,5,9,5,6,9,9,6,8,3,10,2,5,5,6,10,9,9,6,9,7,7,4,1,10,5,6,10,8,6,3,0,0
917527:0,0,3,4,4,6,10,5,9,9,9,8,5,5,8,9,6,8,8,6,3,10,9,7,14,2,3,6,8,5,7,6,16,9,7,8,7,9,6,6,5,9,10,9,7,6,9,9,7,9,3,11,5,10,6,10,11,10,10,4,9,10,9,4,4,6,4,3,6,6,3,2,4,1,2,8,5,4,4,3,7,3,3,3,1,4,4,2,3,2,7,0,3,2,2,4,7,5,3,3,2,5,3,0,4,4,6,8,5,5,2,0,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,7,5,2,7,14,16,9,12,14,10,7,6,10,5,9,13,10,11,5,11,9,15,8,10,10,11,9,6,8,3,13,13,12,8,12,10,10,12,10,7,8,10,17,9,9,11,6,11,9,6,17,8,5,8,12,7,13,6,12,14,6,5,3,1,2,0,1,1,4,0,2,0,0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,2,1,3,2,2,0,2,0,1,0,0,1,1,2,1,1,0,1,0,0
917530:0,0,0,2,5,5,2,5,7,7,4,6,4,7,3,8,4,5,9,6,3,4,6,5,10,2,3,4,6,3,5,5,5,9,5,3,5,6,6,3,2,6,7,8,3,3,8,5,6,5,8,6,1,8,4,6,6,4,6,6,5,5,3,4,2,6,2,3,2,5,2,2,2,0,1,4,4,3,3,2,3,2,4,3,2,4,4,1,2,2,4,0,2,1,1,1,5,3,3,1,2,4,3,0,3,3,3,3,4,5,3,0,0
917531:0,0,0,1,4,4,1,3,5,6,5,3,6,5,3,4,5,9,9,4,5,4,5,3,8,2,4,3,6,4,5,7,5,10,5,3,3,4,7,2,3,4,9,4,2,6,5,3,7,3,8,7,2,7,5,4,9,4,4,3,5,5,2,4,1,4,2,1,2,4,2,2,1,0,0,3,3,4,3,1,2,2,4,2,2,3,2,1,2,2,4,0,1,1,1,0,3,2,2,1,2,4,2,0,2,3,2,4,3,4,3,0,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,1,2,5,0,1,3,6,1,6,1,5,3,3,0,5,2,4,1,2,5,2,6,5,3,4,4,1,6,8,4,3,4,2,3,3,6,6,4,2,4,4,3,4,3,4,4,7,3,3,6,4,3,2,5,3,3,3,5,2,5,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917022:0,0,2,4,5,4,0,4,5,3,5,2,7,11,4,2,4,6,8,7,4,5,4,5,4,8,8,6,5,4,6,11,6,5,4,6,4,4,6,7,4,6,6,4,8,7,5,10,10,3,2,6,7,5,6,7,4,7,3,3,2,5,4,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17439:0,0,6,5,6,11,10,13,7,12,5,15,4,11,9,6,5,11,2,6,4,17,10,8,8,7,9,16,8,7,11,9,6,8,6,15,6,12,7,7,7,4,4,13,5,12,12,5,7,15,6,8,6,10,10,10,5,12,9,16,7,6,6,3,2,2,2,1,1,0,1,3,1,1,1,0,2,0,2,3,0,1,2,1,0,0,1,2,1,2,1,1,0,0,0,1,2,2,0,3,0,5,1,2,0,1,0,3,2,1,0,0,0
917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,0,1,2,2,0,0,1,0,2,1,0,2,0,0,0,0,2,1,2,0,2,0,2,0,2,0,0,1,0,5,1,3,0,2,0,1,0,2,0,0,0,0,1,3,0,2,1,2,0,1,1,4,1,2,1,2,3,3,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17443:0,0,6,3,4,3,5,3,6,7,4,9,1,4,1,6,5,7,5,9,5,5,4,2,6,5,5,10,10,1,5,3,1,6,6,3,2,6,4,3,4,7,4,7,5,6,2,4,8,4,6,5,11,8,6,4,4,3,9,4,1,7,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
917541:0,0,2,5,3,3,2,5,3,5,5,6,3,1,2,4,3,5,3,3,2,5,1,3,1,4,5,3,1,3,5,4,6,2,0,5,5,9,4,5,5,2,5,2,1,1,4,5,6,5,1,2,5,2,2,4,6,4,4,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16935:0,0,3,1,2,3,1,1,1,2,2,3,3,0,1,2,1,2,0,0,1,2,1,0,0,0,3,1,0,1,0,3,0,2,0,1,4,0,2,2,1,1,1,2,4,1,1,2,1,0,0,1,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917544:0,0,0,2,7,3,5,6,3,8,9,7,8,5,4,6,3,7,8,3,2,3,6,7,4,3,6,7,4,3,3,4,3,4,2,5,8,8,6,9,1,5,3,4,4,5,2,5,7,4,4,8,2,2,5,6,7,4,7,5,9,7,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917545:0,0,0,2,6,2,1,3,4,2,7,8,4,5,3,3,0,4,6,8,5,5,9,10,8,2,1,8,5,5,6,1,2,4,3,6,5,6,4,6,6,2,6,6,4,1,4,2,5,7,4,2,1,4,4,2,7,4,4,5,5,3,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16938:0,0,1,1,1,3,1,4,3,1,6,3,0,1,3,2,0,2,3,1,2,1,0,0,3,2,3,0,0,4,0,0,1,2,1,1,2,0,4,2,0,2,0,0,1,2,3,0,1,3,1,2,2,2,2,1,0,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917035:0,0,1,1,4,0,2,0,3,2,3,4,0,2,3,1,1,1,3,4,3,1,3,2,2,2,5,0,2,1,2,3,4,4,1,2,2,4,4,3,3,2,0,1,2,3,2,2,4,5,3,1,3,5,2,4,4,2,4,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16931:0,0,7,8,3,5,4,11,14,9,4,10,4,4,8,5,8,7,5,6,7,10,7,8,10,9,10,8,4,9,9,13,6,7,9,5,11,8,6,9,6,11,10,7,11,9,3,7,10,10,10,12,3,4,8,8,10,14,5,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917430:0,0,5,15,15,15,9,10,13,18,17,13,28,19,21,4,16,16,13,11,24,11,19,20,18,21,18,14,21,16,17,21,17,17,17,9,13,17,19,16,13,13,22,16,17,16,14,18,10,15,23,9,15,17,17,13,19,16,11,22,23,18,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
17528:0,0,4,9,9,16,19,10,6,15,15,18,11,13,14,15,11,6,13,13,9,15,13,16,9,10,10,15,10,15,15,8,11,7,10,16,7,16,16,15,10,12,16,18,16,15,12,19,16,12,14,7,17,9,7,7,16,12,15,20,11,7,4,4,3,4,4,4,6,4,3,8,4,3,2,5,6,5,0,5,3,2,4,4,7,5,5,5,5,1,6,3,0,4,5,6,3,5,5,9,4,5,4,4,6,1,1,5,3,2,2,0,0
917429:0,0,3,7,11,11,10,5,12,10,12,11,13,12,10,13,8,10,8,8,13,14,11,15,8,11,12,8,15,12,12,7,10,9,11,13,7,9,14,11,10,8,15,12,16,9,7,15,6,14,11,8,8,11,10,10,11,11,10,11,8,14,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17102:0,0,5,4,8,8,4,8,11,7,8,6,8,8,7,2,5,3,5,7,3,7,6,8,9,5,11,10,8,5,9,9,5,9,4,13,6,7,9,10,3,6,5,6,0,9,9,6,9,3,9,6,10,8,2,9,7,6,6,7,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17523:0,0,2,5,7,11,9,8,3,7,6,11,4,10,4,10,8,7,5,11,7,8,12,5,12,8,7,9,9,8,8,11,9,15,13,5,5,5,8,6,9,9,10,10,12,9,9,14,6,9,10,9,9,10,11,10,4,7,9,14,11,11,10,12,4,2,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17989:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917069:0,0,4,1,1,1,1,2,2,4,3,2,1,2,0,0,0,0,1,2,0,1,5,2,3,1,1,2,2,2,3,1,2,1,1,1,1,0,2,0,0,2,0,1,1,2,2,3,1,3,2,2,1,2,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917432:0,0,6,14,8,21,12,20,30,16,16,15,17,14,13,16,28,24,17,16,18,20,14,27,15,21,19,23,17,16,18,20,26,19,19,20,16,14,19,20,23,21,12,19,13,19,21,26,21,25,17,14,9,23,26,20,24,26,19,15,20,22,15,19,13,6,1,0,5,4,2,4,1,4,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17622:0,0,1,5,6,6,11,8,7,12,4,12,8,8,8,7,10,12,6,8,7,10,11,13,7,6,6,8,6,11,10,7,10,13,6,11,7,5,8,9,4,4,8,8,4,6,8,8,11,8,7,9,8,4,5,14,7,9,6,4,5,5,6,5,2,0,1,1,2,1,1,0,1,0,1,0,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
917778:0,0,1,1,4,2,2,0,4,4,3,2,2,2,3,5,2,0,2,2,2,1,1,2,0,1,2,2,2,1,1,1,1,4,1,6,3,2,1,3,1,1,2,3,3,2,1,3,1,2,5,1,2,1,3,3,0,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916927:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917592:0,0,1,0,1,4,3,5,4,4,1,7,3,1,2,4,4,5,5,3,2,0,3,2,2,3,1,3,1,3,5,1,3,2,3,3,4,2,2,2,3,6,2,5,2,0,0,2,1,1,3,2,2,1,4,2,1,3,3,4,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917519:0,0,4,4,5,9,4,4,3,13,10,6,4,8,8,5,5,6,10,4,7,9,3,5,7,6,7,6,2,7,5,5,3,5,5,5,8,6,6,9,7,6,3,8,2,2,4,9,5,7,4,6,7,4,4,8,6,7,1,7,5,11,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917085:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917086:0,0,0,0,3,6,0,2,4,6,4,5,1,1,3,6,1,2,6,4,1,3,4,0,2,1,5,4,1,4,0,1,2,4,1,2,4,2,4,4,1,2,0,1,2,3,1,1,1,3,4,2,6,2,2,4,5,2,4,2,1,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917601:0,0,2,3,2,4,7,8,7,5,9,8,6,4,4,5,7,6,7,6,3,4,6,6,4,11,5,8,1,4,8,4,4,10,6,7,7,3,6,3,5,6,6,7,6,4,7,5,5,11,3,5,7,6,7,8,4,4,5,4,9,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17655:0,1,1,6,4,6,5,9,6,9,5,6,3,7,2,7,9,5,6,9,3,5,11,6,6,7,4,5,7,4,11,3,8,4,7,5,9,9,9,6,11,9,6,2,3,5,8,6,7,3,3,3,8,7,11,7,4,5,8,8,5,9,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917604:0,0,0,0,2,0,1,1,0,2,1,2,2,1,2,1,0,2,0,1,1,1,3,1,0,0,0,1,0,0,0,0,0,2,3,1,1,1,0,2,0,0,3,0,0,0,0,0,0,1,1,0,2,1,0,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
