76-61-45-17,24
76-63-88-69-78-45-17,21
76-63-88-75-98-73-65-61-45-17,0
76-63-88-69-49-38-17,0
76-61-80-49-38-17,18
76-63-71-100-77-86-65-61-45-17,0
110-85-98-79-108-91-136,0
110-91-136,2
110-106-81-100-83-91-136,0
110-85-98-79-87-132-136,0
110-106-87-126-122-118-124-128-132-136,0
110-106-87-132-136,0
134-130-89-81-94,4
134-93-85-98-94,1
134-130-126-97-57-64-68-72-76-63-71-94,0
134-93-106-81-94,0
134-93-85-77-86-71-94,0
134-130-89-108-85-98-94,0
110-85-98-73-88-75-104,6
110-106-81-100-104,8
110-85-77-86-71-100-104,0
110-85-104,0
110-91-130-89-108-85-104,0
110-106-81-73-88-75-104,0
110-106-81-73-65-61-45-40-44,9
110-85-77-69-78-45-40-44,7
110-106-81-100-77-69-49-44,3
110-85-77-86-65-61-45-40-44,0
110-85-77-69-49-44,0
110-85-77-86-65-61-80-49-44,0
113-93-85-98-94,2
113-93-106-81-94,6
113-130-89-108-85-98-94,4
113-130-126-97-57-64-68-72-76-63-71-94,0
113-130-89-81-94,0
113-93-85-77-86-71-94,0
110-85-77-86-65-74,5
110-85-77-69-78-59-74,16
110-106-81-73-65-74,14
110-85-98-73-65-74,0
110-91-130-89-81-73-65-74,6
110-106-81-100-77-86-65-74,0
96-100-104,8
96-73-65-61-80-67-75-104,1
96-79-87-132-93-85-104,0
96-79-108-85-104,0
96-100-77-86-65-61-80-67-75-104,0
96-73-88-75-104,0
36-40-44,5
36-43-80-67-86-65-61-45-40-44,4
36-43-59-63-88-69-78-45-40-44,6
36-43-59-63-88-69-49-44,0
36-40-47-78-59-63-88-69-49-44,0
36-43-80-49-44,0
82-78-59-74-41-36-40-44,7
82-67-86-65-61-80-49-44,2
82-78-45-40-44,6
82-78-59-63-88-69-49-44,0
82-67-86-65-61-45-40-44,0
82-49-44,0
134-93-106-81-100-77-69-84,4
134-93-85-77-69-84,14
134-130-89-108-85-77-69-84,7
134-93-85-77-86-65-61-80-84,0
134-130-126-97-57-64-68-72-76-61-80-84,0
134-130-126-97-57-64-68-72-76-63-88-69-84,0
113-93-106-87-126,16
113-93-85-98-79-87-126,12
113-130-126,10
113-93-85-98-79-108-91-130-126,0
113-93-106-81-100-83-91-130-126,0
113-130-89-81-100-83-106-87-126,0
128-132-93-85-77-92,8
128-89-108-85-77-92,9
128-89-81-73-88-92,5
128-132-93-106-81-100-77-92,0
128-89-108-85-98-73-88-92,0
128-89-81-100-77-92,0
113-93-85-77-69-78-45-34,31
113-93-85-98-73-65-61-45-34,10
113-130-126-97-57-64-68-72-76-61-45-34,0
113-93-85-77-86-65-61-45-34,9
113-93-85-77-69-49-38-34,0
113-93-106-81-73-65-61-45-34,0
76-63-71-79-87-132-136,10
76-63-88-75-83-91-136,7
76-61-80-67-75-83-91-136,0
76-63-71-100-83-91-136,0
76-63-88-75-83-106-87-132-136,0
76-63-71-79-108-91-136,0
19-38-43-59-74,12
19-47-78-59-74,17
19-47-67-86-65-74,19
19-47-67-75-98-73-65-74,0
19-38-43-80-67-86-65-74,0
19-38-43-59-63-88-75-98-73-65-74,0
15-43-59-63-71-79-87-126,34
15-43-59-63-88-75-83-91-130-126,8
15-43-80-67-75-83-91-130-126,0
15-34-39-76-63-71-79-87-126,0
15-43-59-63-88-75-83-106-87-126,0
15-43-80-67-75-83-106-87-126,10
42-47-78-59-63-71-94,7
42-47-67-75-98-94,4
42-38-43-59-63-88-75-98-94,0
42-38-34-39-76-63-71-94,0
42-47-67-86-71-94,6
42-38-43-59-63-71-94,0
82-67-75-104,6
82-49-38-43-59-63-88-75-104,1
82-67-86-71-100-104,0
82-78-45-40-47-67-75-104,0
82-78-59-63-88-75-104,0
82-78-59-63-71-100-104,0
102-83-106-81-73-65-74,28
102-98-73-88-69-78-59-74,0
102-77-69-49-38-43-59-74,17
102-77-86-65-74,0
102-98-73-65-74,1
102-77-69-78-59-74,17
96-79-87-107,5
96-100-83-91-130-107,3
96-73-65-74-70-66-62-55-95-128-107,5
96-79-108-91-130-107,0
96-79-87-126-122-118-124-128-107,0
96-100-83-106-87-107,0
42-38-43-80-67-75-104,7
42-47-78-59-63-71-100-104,5
42-38-43-59-63-88-75-104,0
42-47-78-59-63-88-75-104,0
42-38-43-59-63-71-100-104,0
42-47-67-75-104,0
19-38-34-39-76-61-45-17,4
19-47-78-45-17,11
19-47-78-59-74-41-36-17,13
19-38-43-59-74-41-36-17,0
19-38-17,0
19-47-67-86-65-61-45-17,0
102-83-106-87-107,12
102-98-79-87-107,30
102-98-79-108-91-130-107,14
102-83-91-130-107,7
102-98-73-65-74-70-66-62-55-95-128-107,0
102-77-86-65-74-70-66-62-55-95-128-107,0
36-43-59-63-71-79-87-107,39
36-43-80-67-86-65-74-70-66-62-55-95-128-107,13
36-40-47-67-86-65-74-70-66-62-55-95-128-107,11
36-43-59-74-70-66-62-55-95-128-107,0
36-40-47-78-59-74-70-66-62-55-95-128-107,0
36-43-59-74-70-66-62-55-95-122-118-124-128-107,0
102-77-69-78-45-40-44,9
102-77-69-49-44,11
102-98-73-65-61-80-49-44,5
102-98-73-65-61-45-40-44,0
102-77-86-65-61-45-40-44,0
102-77-86-65-61-80-49-44,0
109-89-81-73-65-61-45-17,123
109-118-124-97-57-64-68-37-32-36-17,24
109-118-124-97-57-58-29-20-24-28-32-36-17,15
109-118-124-97-57-33-24-28-32-36-17,0
109-118-124-97-57-64-68-72-41-36-17,0
109-118-124-97-57-64-68-72-76-61-45-17,0
19-47-67-75-98-79-108-112,26
19-47-67-75-83-112,6
19-47-78-59-63-88-75-83-112,6
19-38-43-59-63-71-79-108-112,13
19-38-43-80-67-75-83-112,0
19-38-43-59-63-88-75-83-112,0
110-85-77-69-78-59-63-88-92,15
110-106-81-100-77-92,8
110-85-77-86-65-61-80-67-92,0
110-106-81-73-88-92,0
110-85-98-73-88-92,0
110-85-77-92,0
113-93-85-77-92,2
113-93-106-81-73-88-92,3
113-93-106-81-100-77-92,2
113-130-126-97-57-64-68-72-76-63-88-92,0
113-130-89-108-85-77-92,0
113-93-85-98-73-88-92,0
76-61-80-67-75-104,13
76-63-88-75-104,5
76-63-71-79-108-85-104,0
76-63-71-100-104,0
76-61-45-40-47-67-75-104,0
76-61-80-67-86-71-100-104,0
134-130-89-81-100-83-112,2
134-130-89-108-112,0
134-93-112,0
134-130-126-122-118-124-128-89-108-112,0
134-93-85-98-79-108-112,13
134-93-106-81-100-83-112,0
96-100-77-92,2
96-100-77-69-78-59-63-88-92,0
96-79-108-85-77-92,0
96-73-65-61-80-67-92,0
96-73-88-92,0
96-100-77-86-65-61-80-67-92,0
128-132-93-85-98-79-108-112,6
128-89-108-112,8
128-89-81-100-83-112,0
128-132-93-106-81-100-83-112,0
128-89-81-73-88-75-83-112,0
128-132-93-112,0
36-40-47-84,7
36-40-47-78-59-63-88-69-84,8
36-43-59-63-88-69-84,8
36-43-59-63-71-100-77-69-84,0
36-40-47-67-86-65-61-80-84,0
36-43-80-84,0
90-86-65-61-45-40-47-84,9
90-86-65-61-80-84,3
90-69-84,2
90-69-78-45-40-47-84,0
90-69-49-38-43-80-84,0
90-75-98-73-65-61-80-84,0
36-43-59-63-88-75-83-91-136,7
36-43-80-67-75-83-91-136,3
36-40-47-67-75-83-91-136,3
36-43-59-74-70-66-62-55-95-128-132-136,0
36-43-59-63-71-79-108-91-136,0
36-43-59-63-71-100-83-91-136,0
96-73-65-61-45-40-44,3
96-73-65-74-70-37-32-36-40-44,5
96-73-65-74-41-36-40-44,14
96-100-77-69-49-44,0
96-73-65-61-80-49-44,0
96-73-88-69-49-44,0
90-86-65-61-45-40-44,9
90-69-78-45-40-44,5
90-86-65-74-41-36-40-44,4
90-86-65-74-70-37-32-36-40-44,0
90-86-65-61-80-49-44,0
90-69-49-44,0
82-78-59-74,31
82-67-86-65-74,17
82-67-75-98-73-65-74,0
82-49-38-43-80-67-86-65-74,0
82-78-45-40-47-67-86-65-74,15
82-49-38-43-59-74,0
113-130-126-122-118-124-128-89-108-112,5
113-93-85-98-79-108-112,2
113-130-89-81-100-83-112,0
113-130-89-108-112,0
113-93-106-81-100-83-112,0
113-93-112,0
90-69-78-59-63-71-94,6
90-75-83-106-81-94,5
90-75-98-94,7
90-86-71-94,0
90-69-78-59-63-88-75-98-94,0
90-86-65-61-80-67-75-98-94,0
19-47-67-75-83-106-87-126,11
19-47-78-59-63-71-79-87-126,14
19-47-67-86-71-79-87-126,21
19-47-67-75-98-79-87-126,8
19-38-43-59-63-71-79-87-126,2
19-47-67-75-83-91-130-126,0
19-47-67-75-83-91-111,23
19-38-34-39-70-66-62-55-95-128-132-111,11
19-38-43-59-74-70-66-62-55-95-128-132-111,6
19-38-34-30-26-22-31-55-95-128-132-111,0
19-47-78-59-74-70-66-62-55-95-128-132-111,0
19-38-34-30-26-35-62-55-95-128-132-111,0
15-43-59-63-71-79-108-112,27
15-40-47-67-75-83-112,10
15-43-59-63-71-100-83-112,9
15-43-59-63-88-75-83-112,7
15-43-80-67-75-83-112,0
15-34-39-76-63-88-75-83-112,0
134-93-85-77-69-78-45-34,25
134-93-85-77-86-65-61-45-34,13
134-130-126-97-57-64-68-72-76-61-45-34,0
134-93-85-77-69-49-38-34,18
134-93-85-98-73-65-61-45-34,0
134-93-106-81-73-65-61-45-34,0
90-69-78-45-34,17
90-86-65-61-45-34,27
90-69-49-38-34,17
90-75-98-73-65-61-45-34,0
90-86-65-61-80-49-38-34,0
90-75-98-73-88-69-78-45-34,0
134-93-85-77-69-78-45-17,41
134-130-126-97-57-64-68-72-76-61-45-17,10
134-130-126-97-57-64-68-37-32-36-17,0
134-93-85-77-86-65-61-45-17,17
134-130-126-97-57-33-24-28-32-36-17,0
134-130-126-97-57-64-68-72-41-36-17,0
128-89-108-91-111,13
128-132-93-85-98-79-108-91-111,16
128-132-111,9
128-89-81-100-83-91-111,0
128-89-108-85-98-79-87-132-111,0
128-132-93-106-81-100-83-91-111,0
90-75-104,8
90-69-78-59-63-88-75-104,0
90-75-98-79-108-85-104,0
90-75-83-106-81-100-104,0
90-86-71-100-104,0
90-86-65-61-80-67-75-104,0
110-106-87-126,10
110-85-77-86-71-79-87-126,21
110-85-98-79-87-126,17
110-91-130-126,0
110-85-98-79-108-91-130-126,0
110-106-81-100-83-91-130-126,0
19-38-34-30-26-22-31-55-95-128-132-136,7
19-47-67-75-83-91-136,26
19-38-34-30-26-35-62-55-95-128-132-136,7
19-38-43-59-74-70-66-62-55-95-128-132-136,6
19-47-78-59-74-70-66-62-55-95-128-132-136,3
19-38-34-39-70-66-62-55-95-128-132-136,0
110-85-98-79-87-107,18
110-106-87-107,13
110-91-130-107,13
110-91-130-126-122-118-124-128-107,0
110-106-87-126-122-118-124-128-107,0
110-85-77-86-65-74-70-66-62-55-95-128-107,0
128-132-93-85-77-69-78-45-34,11
128-89-108-85-77-69-78-45-34,9
128-89-108-85-77-69-49-38-34,11
128-89-81-73-65-61-45-34,1
128-132-93-85-77-86-65-61-45-34,0
128-89-108-85-77-86-65-61-45-34,0
19-38-43-80-84,6
19-47-84,10
19-47-78-59-63-88-69-84,5
19-47-67-86-65-61-80-84,0
19-38-43-59-63-88-69-84,0
19-38-34-39-76-61-80-84,0
82-67-75-83-112,6
82-67-86-71-79-108-112,4
82-67-75-98-79-108-112,3
82-78-59-63-88-75-83-112,0
82-78-59-63-71-100-83-112,0
82-78-59-63-71-79-108-112,0
96-100-83-91-111,2
96-79-87-132-111,1
96-73-88-75-83-91-111,0
96-79-108-91-111,0
96-100-83-106-87-132-111,0
96-73-65-74-70-66-62-55-95-128-132-111,0
15-43-80-67-75-83-91-111,12
15-43-59-63-88-75-83-91-111,27
15-34-39-70-66-62-55-95-128-132-111,13
15-43-59-74-70-66-62-55-95-128-132-111,0
15-34-30-26-22-31-55-95-128-132-111,0
15-34-30-26-35-62-55-95-128-132-111,0
128-132-136,12
128-89-81-100-83-91-136,4
128-89-108-91-136,0
128-89-108-85-98-79-87-132-136,0
128-132-93-106-81-100-83-91-136,0
128-132-93-85-98-79-108-91-136,3
42-38-43-59-63-71-79-87-126,8
42-47-67-75-83-106-87-126,11
42-47-67-75-98-79-87-126,16
42-47-67-86-71-79-87-126,11
42-47-78-59-63-71-79-87-126,20
42-47-67-75-83-91-130-126,0
19-47-67-86-65-61-45-34,20
19-38-43-59-63-88-69-78-45-34,7
19-47-78-45-34,21
19-38-34,4
19-38-43-80-67-86-65-61-45-34,0
19-47-67-86-65-61-80-49-38-34,0
128-89-108-85-77-69-84,9
128-89-81-73-88-69-84,15
128-89-81-73-65-61-80-84,5
128-132-93-85-77-69-84,0
128-89-108-85-77-86-65-61-80-84,0
128-89-81-100-77-69-84,0
36-43-59-63-71-79-108-112,10
36-43-59-63-88-75-98-79-108-112,4
36-43-59-63-88-75-83-112,3
36-40-47-67-75-83-112,0
36-43-59-63-71-100-83-112,0
36-43-80-67-75-83-112,0
15-43-59-74,11
15-43-59-63-88-75-98-73-65-74,0
15-40-47-67-86-65-74,0
15-43-80-67-86-65-74,0
15-40-47-78-59-74,0
15-43-59-63-71-100-77-86-65-74,0
90-69-78-45-17,11
90-86-65-74-41-36-17,20
90-86-65-61-45-17,5
90-86-65-74-70-37-32-36-17,25
90-69-49-38-17,0
90-86-65-61-80-49-38-17,0
42-47-78-45-34,4
42-47-67-86-65-61-45-34,16
42-38-34,7
42-38-43-59-63-88-69-78-45-34,30
42-38-43-80-67-86-65-61-45-34,1
42-47-67-86-65-61-80-49-38-34,0
110-85-98-73-65-61-80-84,4
110-106-81-100-77-69-84,2
110-85-77-86-65-61-80-84,1
110-85-77-69-84,0
110-106-81-73-65-61-80-84,0
110-106-81-73-88-69-84,0
76-63-71-79-87-126,23
76-63-71-100-83-106-87-126,0
76-63-88-75-98-79-87-126,0
76-63-71-79-108-91-130-126,0
76-63-88-75-83-106-87-126,7
76-63-88-75-83-91-130-126,11
15-43-59-74-70-66-62-55-95-128-132-136,9
15-43-80-67-75-83-91-136,22
15-43-59-63-88-75-83-91-136,11
15-34-30-26-22-31-55-95-128-132-136,0
15-34-30-26-35-62-55-95-128-132-136,0
15-34-39-70-66-62-55-95-128-132-136,1
96-100-77-69-84,10
96-100-77-86-65-61-80-84,5
96-73-65-61-45-40-47-84,0
96-73-88-69-84,0
96-79-108-85-77-69-84,0
96-73-65-61-80-84,0
15-40-47-84,13
15-43-80-84,8
15-34-39-76-61-80-84,0
15-34-39-76-63-88-69-84,0
15-43-59-63-88-69-84,17
15-34-30-26-35-68-72-76-61-80-84,0
82-67-75-83-106-87-132-111,6
82-67-75-83-91-111,7
82-78-59-74-70-66-62-55-95-128-132-111,0
82-67-75-98-79-108-91-111,0
82-78-59-63-88-75-83-91-111,0
82-67-86-65-74-70-66-62-55-95-128-132-111,0
102-98-94,9
102-77-69-78-59-63-71-94,4
102-83-91-130-89-81-94,2
102-83-106-81-94,0
102-77-69-78-59-63-88-75-98-94,0
102-77-86-71-94,0
134-93-85-77-92,17
134-93-85-98-73-88-92,2
134-130-126-97-57-64-68-72-76-63-88-92,0
134-130-89-108-85-77-92,0
134-93-106-81-73-88-92,0
134-93-106-81-100-77-92,0
102-83-112,3
102-83-91-130-89-108-112,2
102-98-73-88-75-83-112,0
102-77-86-71-100-83-112,0
102-98-79-108-112,0
102-77-86-71-79-108-112,0
113-93-85-77-86-65-61-45-17,11
113-93-85-77-69-78-45-17,30
113-130-126-97-57-64-68-37-32-36-17,11
113-130-126-97-57-64-68-72-76-61-45-17,0
113-130-126-97-57-64-68-72-41-36-17,0
113-130-126-97-57-33-24-28-32-36-17,0
19-47-67-75-98-94,4
19-47-67-86-71-94,8
19-38-43-59-63-71-94,0
19-38-34-39-76-63-71-94,0
19-47-78-59-63-71-94,0
19-38-43-59-63-88-75-98-94,0
113-93-106-81-100-77-69-84,2
113-93-85-77-86-65-61-80-84,4
113-130-89-108-85-77-69-84,1
